GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0
2024 04 13 16 51 47.4173442,C34,21740863.38226,-1064.68926,39.70026,21738975.88925,-806.38525
2024 04 13 16 51 47.4173442,C33,25062296.70225,2667.15025,30.60025,25060434.99125,2012.36825
2024 04 13 16 51 47.4173442,C21,23415085.84227,-2021.12327,45.00027,23413190.85425,-1520.75125
2024 04 13 16 51 47.4173442,E10,25672429.51626,2216.01126,38.70026,25670521.03725,1654.78025
2024 04 13 16 51 47.4173442,E12,24348414.11225,1515.60025,30.80025,24346507.13325,1132.30025
2024 04 13 16 51 47.4173442,E24,28320975.36526,-1723.90026,36.70026,28319079.47824,-1287.69424
2024 04 13 16 51 47.4173442,E33,24343775.12425,-654.45025,30.20025,24341862.74824,-487.95024
2024 04 13 16 51 48.4173443,G03,24053168.46227,2625.04227,43.10027,24050830.98125,1958.48025
2024 04 13 16 51 48.4173443,G08,21136033.75328,-902.33028,48.00028,21133684.87926,-673.16926
2024 04 13 16 51 48.4173443,G10,22793214.21125,-1895.50025,34.10025,22790856.94224,-1413.54924
2024 04 13 16 51 48.4173443,G27,22149393.11927,-2833.11727,43.40027,22147033.45225,-2117.52625
2024 04 13 16 51 48.4173443,G28,23875252.13126,2657.01726,36.50026,23872905.35623,1986.20023
2024 04 13 16 51 48.4173443,G32,21448326.65727,-1274.01427,44.80027,21445967.29024,-952.89924
2024 04 13 16 51 48.4173443,C43,22350143.44226,1729.73226,39.90026,22348254.45025,1303.84425
2024 04 13 16 51 48.4173443,C42,21860910.93128,391.78428,47.60028,21859027.33525,295.00025
2024 04 13 16 51 48.4173443,C39,38996790.60825,774.70025,33.40025,38994900.11725,584.50025
2024 04 13 16 51 48.4173443,C34,21741097.07626,-1081.20226,39.60026,21739211.08225,-811.87025
2024 04 13 16 51 48.4173443,C33,25061826.48325,2649.00025,30.40025,25059954.57925,1995.60025
2024 04 13 16 51 48.4173443,C21,23415502.70927,-2037.45327,45.00027,23413612.81825,-1535.50025
2024 04 13 16 51 48.4173443,E10,25672039.34126,2200.30826,39.10026,25670131.76226,1643.00426
2024 04 13 16 51 48.4173443,E12,24348157.64625,1502.62925,32.80025,24346251.26525,1121.93325
2024 04 13 16 51 48.4173443,E24,28321337.37126,-1733.64626,38.70026,28319437.28625,-1295.55025
2024 04 13 16 51 48.4173443,E33,24343914.08325,-666.90025,31.20025,24342020.89424,-497.00024
2024 04 13 16 51 49.4173444,G03,24052703.81627,2630.05027,44.90027,24050361.83726,1964.03126
2024 04 13 16 51 49.4173444,G08,21136237.34328,-897.67028,49.30028,21133885.77126,-670.34126
2024 04 13 16 51 49.4173444,G10,22793612.66626,-1888.19526,35.80026,22791249.70225,-1409.69225
2024 04 13 16 51 49.4173444,G27,22149959.45827,-2828.15827,45.20027,22147601.59026,-2111.85726
2024 04 13 16 51 49.4173444,G28,23874775.19326,2662.02026,38.50026,23872438.31124,1987.50024
2024 04 13 16 51 49.4173444,G32,21448600.09927,-1269.27727,45.70027,21446238.93425,-947.73825
2024 04 13 16 51 49.4173444,C43,22349836.18627,1734.54227,41.70027,22347952.59026,1307.12526
2024 04 13 16 51 49.4173444,C42,21860866.89328,396.67428,49.40028,21858981.19824,298.81524
2024 04 13 16 51 49.4173444,C39,38996672.82125,779.75025,33.50025,38994782.03025,588.45025
2024 04 13 16 51 49.4173444,C34,21741333.34426,-1076.34226,41.40026,21739448.54925,-810.81625
2024 04 13 16 51 49.4173444,C33,25061336.05425,2653.05025,33.00025,25059473.14425,1999.72325
2024 04 13 16 51 49.4173444,C21,23415924.24927,-2032.53727,47.00027,23414033.15825,-1531.76525
2024 04 13 16 51 49.4173444,E10,25671648.74327,2204.55827,42.30027,25669742.96326,1646.33026
2024 04 13 16 51 49.4173444,E12,24347900.15525,1509.80325,34.70025,24345994.37525,1127.55525
2024 04 13 16 51 49.4173444,E24,28321696.25426,-1729.67626,40.20026,28319797.36825,-1291.85025
2024 04 13 16 51 49.4173444,E33,24344074.80425,-660.87925,34.20025,24342175.31925,-493.37825
2024 04 13 16 51 50.4173446,G03,24052262.95827,2625.44427,45.40027,24049921.27926,1960.49826
2024 04 13 16 51 50.4173446,G08,21136468.32028,-902.66728,49.70028,21134117.64826,-674.08526
2024 04 13 16 51 50.4173446,G10,22794040.90725,-1891.20025,33.90025,22791666.85024,-1411.85024
2024 04 13 16 51 50.4173446,G27,22150553.48427,-2832.84527,45.10027,22148200.71226,-2115.55326
